,text,diggCount,createTimeISO,cleaned_text,normalized_text,roberta_label,roberta_score,roberta_sentiment
60,heran ama si bahlil kuat ga mau di pecat.hrs di ganti mentri nya,8,2025-10-09 05:22:04+00:00,heran ama si bahlil kuat ga mau di pecat.hrs di ganti mentri nya,heran ama si bahlil kuat tidak mau di pecat.hrs di ganti mentri nya,0.0,0.9986899495124817,0
61,pak Prabowo knp sih masih di pertahankan menteri ini. Hadeuh,37,2025-10-09 07:00:19+00:00,pak prabowo knp sih masih di pertahankan menteri ini. hadeuh,pak prabowo kenapa ya masih di pertahankan menteri ini. hadeuh,0.0,0.9979740977287292,0
62,cara merusak kendaraan masyarakat beli baru rusak lagi beli lagi gitu aj trus,18,2025-10-09 03:25:02+00:00,cara merusak kendaraan masyarakat beli baru rusak lagi beli lagi gitu aj trus,cara merusak kendaraan masyarakat beli baru rusak lagi beli lagi gitu aj terus,0.0,0.9992750287055969,0
63,bukan bahlil itu mah jadinya bahlul😂😂,17,2025-10-10 05:32:42+00:00,bukan bahlil itu mah jadinya bahlul😂😂,bukan bahlil itu mah jadinya bahlul😂😂,0.0,0.9976907968521118,0
64,Mafia semua dalam pemerintah indonesia,18,2025-10-09 03:16:52+00:00,mafia semua dalam pemerintah indonesia,mafia semua dalam pemerintah indonesia,0.0,0.9993570446968079,0
65,cek vt om fitra eri soal bensin etanol biar kalian paham,227,2025-10-12 10:33:13+00:00,cek vt om fitra eri soal bensin etanol biar kalian paham,cek vt om fitra eri soal bensin etanol biar kalian paham,,0.9989961981773376,0
67,"pak presiden kapan ada rencana buat pecat ini orang, muak banget",2596,2025-10-10 09:22:02+00:00,pak presiden kapan ada rencana buat pecat ini orang  muak banget,pak presiden kapan ada rencana buat pecat ini orang muak banget,0.0,0.999505877494812,0
68,bahlil itu belajar nya drimna kok dibilang bgus👍😁,7,2025-10-10 14:17:25+00:00,bahlil itu belajar nya drimna kok dibilang bgus👍😁,bahlil itu belajar nya drimna kok dibilang bgus👍😁,1.0,0.847293496131897,1
70,bahlil sm bahlul apa sih perbedaannya?? serius nanya.,17,2025-10-12 02:31:32+00:00,bahlil sm bahlul apa sih perbedaannya?? serius nanya.,bahlil sama bahlul apa ya perbedaannya?? serius nanya.,0.0,0.9800530076026917,0
71,pecat bahlil🔥🔥🔥,11,2025-10-10 08:04:48+00:00,pecat bahlil🔥🔥,pecat bahlil🔥🔥,0.0,0.9980894923210144,0
72,"Setiap 1 kebijakan Bahlil, mempercepat Kiamat 1 Tahun.",355,2025-10-10 08:51:20+00:00,setiap 1 kebijakan bahlil  mempercepat kiamat 1 tahun.,setiap 1 kebijakan bahlil mempercepat kiamat 1 tahun.,,0.940827488899231,0
73,Bahlil jika 2026 bensin di campur dengan etanol kita seluruh Indonesia akan demo besar besaran,90,2025-10-16 11:45:53+00:00,bahlil jika 2026 bensin di campur dengan etanol kita seluruh indonesia akan demo besar besaran,bahlil jika 2026 bensin di campur dengan etanol kita seluruh indonesia akan demo besar besaran,0.0,0.9570463299751282,0
74,Jangan percaya sm omongan Bahlil😁😁😁,20,2025-10-10 06:47:10+00:00,jangan percaya sm omongan bahlil😁😁,jangan percaya sama omongan bahlil😁😁,0.0,0.9954220652580261,0
75,"katanya ngelamar kerja di Indonesia harus berpenampilan menarik,kok bahlil bisa jadi mentri?",107,2025-10-12 13:37:21+00:00,katanya ngelamar kerja di indonesia harus berpenampilan menarik kok bahlil bisa jadi mentri?,katanya ngelamar kerja di indonesia harus berpenampilan menarik kok bahlil bisa jadi mentri?,0.0,0.9830547571182251,0
76,menteri bikin gaduh aja ...ganti pak prabowo,33,2025-10-10 06:54:20+00:00,menteri bikin gaduh aja ..ganti pak prabowo,menteri bikin gaduh aja ..ganti pak prabowo,,0.9937266111373901,0
77,pak Presiden... saya kecewa dengan menteri bapak yang satu ini🥺,56,2025-10-10 07:17:46+00:00,pak presiden.. saya kecewa dengan menteri bapak yang satu ini🥺,pak presiden.. saya kecewa dengan menteri bapak yang satu ini🥺,0.0,0.999154806137085,0
78,yg tidak bagus mulut bahlil,22,2025-10-10 06:50:47+00:00,yg tidak bagus mulut bahlil,yang tidak bagus mulut bahlil,0.0,0.9993058443069458,0
79,"wowo wowo orang gini ko masih di pertahankan,
pecat segera bahlil 🔥🔥🔥🔥",13,2025-10-10 06:51:22+00:00,"wowo wowo orang gini ko masih di pertahankan 
pecat segera bahlil 🔥🔥",wowo wowo orang gini ko masih di pertahankan pecat segera bahlil 🔥🔥,0.0,0.999019980430603,0
81,sebutkan negara mana saja,10,2025-10-10 06:12:57+00:00,sebutkan negara mana saja,sebutkan negara mana saja,,0.9180713295936584,0
82,Sudah saatnya rakyat turun ke jalan!,7,2025-10-10 07:27:26+00:00,sudah saatnya rakyat turun ke jalan!,sudah saatnya rakyat turun ke jalan!,0.0,0.9922505021095276,0
83,PECAT BAHLIL,5,2025-10-10 14:22:53+00:00,pecat bahlil,pecat bahlil,0.0,0.9985353946685791,0
84,"itu siapa yg tepuk tangan?
terpaksa banget tepuk tangan kayaknya 😂",6,2025-10-12 12:39:49+00:00,"itu siapa yg tepuk tangan?
terpaksa banget tepuk tangan kayaknya 😂",itu siapa yang tepuk tangan? terpaksa banget tepuk tangan kayaknya 😂,0.0,0.9952793121337891,0
85,kpn Bahlil pake baju orange,5,2025-10-11 13:49:45+00:00,kpn bahlil pake baju orange,kpn bahlil pake baju orange,,0.998088538646698,0
86,ini adalah menteri yg sangat menyusahkan rakyat..,29,2025-10-11 01:08:02+00:00,ini adalah menteri yg sangat menyusahkan rakyat..,ini adalah menteri yang sangat menyusahkan rakyat..,0.0,0.9991052746772766,0
87,mafia migas. pertamax oplosan. wahh... wah... itulah bagian dari pertamina saat ini. kebongkar.,13,2025-10-10 04:46:49+00:00,mafia migas. pertamax oplosan. wahh.. wah.. itulah bagian dari pertamina saat ini. kebongkar.,mafia migas. pertamax oplosan. wahh.. wah.. itulah bagian dari pertamina saat ini. kebongkar.,0.0,0.9991426467895508,0
88,buktinya spbu swasta gak mau,5,2025-10-10 06:05:38+00:00,buktinya spbu swasta gak mau,buktinya spbu swasta tidak mau,0.0,0.9981154203414917,0
89,"Mentri,abal2 bikin resah masarakat aja😭😭😭",7,2025-10-10 12:42:54+00:00,mentri abal2 bikin resah masarakat aja😭😭,mentri abal2 bikin resah masarakat aja😭😭,0.0,0.9994169473648071,0
90,"❌️BAHLIL.
✅️BAHLUL🗿🗿🗿",7,2025-10-12 12:17:17+00:00,"❌️bahlil.
✅️bahlul🗿🗿",❌️bahlil. ✅️bahlul🗿🗿,1.0,0.9852965474128723,1
91,iya bener di negara lain udah pake etanol untuk bahan bakar kendaraannya. masalahnya mesin di negara lain lebih maju daripada mesin negara Kita.,7,2025-10-10 23:18:39+00:00,iya bener di negara lain udah pake etanol untuk bahan bakar kendaraannya. masalahnya mesin di negara lain lebih maju daripada mesin negara kita.,ya benar di negara lain sudah pake etanol untuk bahan bakar kendaraannya. masalahnya mesin di negara lain lebih maju daripada mesin negara kita.,0.0,0.9983032941818237,0
92,PA. elu lihat diluar negri kendaraan mesin mereka dihitung dn dirancang khusus buat ada etanol dan negara kita iklimnya juga beda dgn negara lain PA. Nah kita Indonesia BBM prtalet bensin jgn sampai ada etanol. Bahlil gk ktolong bgo'nya,5,2025-10-29 06:29:44+00:00,pa. elu lihat diluar negri kendaraan mesin mereka dihitung dn dirancang khusus buat ada etanol dan negara kita iklimnya juga beda dgn negara lain pa. nah kita indonesia bbm prtalet bensin jgn sampai ada etanol. bahlil gk ktolong bgo nya,pa. elu lihat diluar negri kendaraan mesin mereka dihitung dn dirancang khusus buat ada etanol dan negara kita iklimnya juga beda dengan negara lain pa. nah kita indonesia bbm prtalet bensin jangan sampai ada etanol. bahlil tidak ktolong bgo nya,0.0,0.9975628852844238,0
93,Bahlil b nya apa?,122,2025-10-09 03:52:42+00:00,bahlil b nya apa?,bahlil b nya apa?,0.0,0.9922879934310913,0
95,etanol untuk mesin,462,2025-10-12 10:17:50+00:00,etanol untuk mesin,etanol untuk mesin,,0.9954860806465149,0
96,Bahlil artinya apa,17,2025-10-09 04:01:34+00:00,bahlil artinya apa,bahlil artinya apa,1.0,0.9473835825920105,1
97,bahlil B nyah apa? 🗿,15,2025-10-09 13:12:09+00:00,bahlil b nyah apa? 🗿,bahlil b nyah apa? 🗿,0.0,0.8311949372291565,0
98,"Bahlil : etanol aman, saya tekankan lagi etanol aman. ( nada sir axelord) 🗿🗿",8,2025-10-09 04:21:34+00:00,bahlil   etanol aman  saya tekankan lagi etanol aman.   nada sir axelord  🗿🗿,bahlil etanol aman saya tekankan lagi etanol aman. nada sir axelord 🗿🗿,,0.8798683881759644,0
99,PAK PRABOWO TOLONG GANTI BAHLIL😩 apalah ini pertamina,8872,2025-10-09 03:58:03+00:00,pak prabowo tolong ganti bahlil  apalah ini pertamina,pak prabowo tolong ganti bahlil apalah ini pertamina,,0.9984795451164246,0
100,pecat Bahlil,46,2025-10-12 11:05:44+00:00,pecat bahlil,pecat bahlil,0.0,0.9985353946685791,0
101,bahlil B nya apa? 🤣🤣🤣,21,2025-10-09 03:42:39+00:00,bahlil b nya apa? 🤣🤣,bahlil b nya apa? 🤣🤣,,0.7372976541519165,0
102,"tujuannya apa? ya betul,duit yang masuk kantong pribadi biar makin tebel 🗿",16,2025-10-09 05:18:59+00:00,tujuannya apa? ya betul duit yang masuk kantong pribadi biar makin tebel 🗿,tujuannya apa? ya betul duit yang masuk kantong pribadi biar makin tebel 🗿,0.0,0.9922354817390442,0
103,reaksi Bahlil,2,2025-10-09 09:19:46+00:00,reaksi bahlil,reaksi bahlil,,0.9488826990127563,0
106,tampang kayak gitu kok bisa jadi menteri.terus apa yg bisa dibanggakan dari dia.😂👍,6,2025-10-12 02:02:18+00:00,tampang kayak gitu kok bisa jadi menteri.terus apa yg bisa dibanggakan dari dia.😂👍,tampang kayak gitu kok bisa jadi menteri.terus apa yang bisa dibanggakan dari dia.😂👍,1.0,0.897907555103302,1
107,"kocak spbu swasta aja ga mau beli, ga mau beli berarti ada sebabnya karena spbu swasta mempertahankan kepercayaan costumernya",4,2025-10-10 09:01:08+00:00,kocak spbu swasta aja ga mau beli  ga mau beli berarti ada sebabnya karena spbu swasta mempertahankan kepercayaan costumernya,kocak spbu swasta aja tidak mau beli tidak mau beli berarti ada sebabnya karena spbu swasta mempertahankan kepercayaan costumernya,0.0,0.9973921775817871,0
108,"syarat bekerja ""harus berpenampilan menarik"", si bahlil mukanya kaya gini ko bisa jadi menteri",6,2025-10-13 12:58:09+00:00,syarat bekerja  harus berpenampilan menarik   si bahlil mukanya kaya gini ko bisa jadi menteri,syarat bekerja harus berpenampilan menarik si bahlil mukanya kaya gini ko bisa jadi menteri,0.0,0.7852016687393188,0
109,bukan etanol yang gak bagus tapi bapak!!,33,2025-10-10 08:47:13+00:00,bukan etanol yang gak bagus tapi bapak!!,bukan etanol yang tidak bagus tapi bapak!!,0.0,0.9983358979225159,0
110,emg mesin kendaraanya udh support pake etanol? apalah org ini,5,2025-10-12 11:13:41+00:00,emg mesin kendaraanya udh support pake etanol? apalah org ini,emg mesin kendaraanya sudah support pake etanol? apalah org ini,0.0,0.9968628883361816,0
111,baru juga login 2tak bahlil anj....,13,2025-10-15 00:16:17+00:00,baru juga login 2tak bahlil anj..,baru juga login 2tak bahlil anj..,,0.9973898530006409,0
113,"demo aja, ganti niih mentri",26,2025-10-11 12:54:14+00:00,demo aja  ganti niih mentri,demo aja ganti niih mentri,0.0,0.9994134902954102,0
114,yok demo part2 yok,15,2025-10-14 09:08:24+00:00,yok demo part2 yok,yok demo part2 yok,,0.7547031044960022,0
115,kira2 cocok gak di nepalkan???,7,2025-10-13 01:25:02+00:00,kira2 cocok gak di nepalkan??,kira2 cocok tidak di nepalkan??,0.0,0.9857704639434814,0
116,ga bagus untuk motor tua dan motor 2 tak,5,2025-10-21 13:22:51+00:00,ga bagus untuk motor tua dan motor 2 tak,tidak bagus untuk motor tua dan motor 2 tak,0.0,0.9986560344696045,0
117,heran emng di Indonesia GK Da orang yg bnr pa smpai Mentri Kya gini di pake aja,7,2025-10-11 11:20:17+00:00,heran emng di indonesia gk da orang yg bnr pa smpai mentri kya gini di pake aja,heran emng di indonesia tidak da orang yang benar pa smpai mentri kya gini di pake aja,0.0,0.9992521405220032,0
118,Brody ngapain pidato turun turun turun,8,2025-10-11 08:52:00+00:00,brody ngapain pidato turun turun turun,brody ngapain pidato turun turun turun,0.0,0.9736629724502563,0
119,"negara lain jual bensin pake etanol bisa untung,,klw di Konoha rugi trs",6,2025-10-10 11:58:50+00:00,negara lain jual bensin pake etanol bisa untung  klw di konoha rugi trs,negara lain jual bensin pake etanol bisa untung klw di konoha rugi terus,0.0,0.8642051815986633,0
120,kapan ini orang di pecat,7,2025-10-10 11:32:27+00:00,kapan ini orang di pecat,kapan ini orang di pecat,0.0,0.9989925026893616,0
121,cangkemu Lil Bahlil,2,2025-11-10 04:29:48+00:00,cangkemu lil bahlil,cangkemu lil bahlil,0.0,0.9519981741905212,0
122,Bahlil itu binatang apa ya,5,2025-10-17 11:36:32+00:00,bahlil itu binatang apa ya,bahlil itu binatang apa ya,0.0,0.9984264373779297,0
123,gw lebih percaya statement bang fitra eri dari pada orang ini.,2,2025-10-22 00:58:41+00:00,gw lebih percaya statement bang fitra eri dari pada orang ini.,saya lebih percaya statement bang fitra eri dari pada orang ini.,1.0,0.9693799614906311,1
124,etanol bukankah alkohol itukan merusak,6,2025-10-10 10:12:51+00:00,etanol bukankah alkohol itukan merusak,etanol bukankah alkohol itukan merusak,0.0,0.9978912472724915,0
125,BAHLIL ANJ,2,2025-10-29 08:52:25+00:00,bahlil anj,bahlil anjing,0.0,0.9984697699546814,0
126,tiap bahlil ngomong kiamat maju 1 jam,15524,2025-10-10 09:43:39+00:00,tiap bahlil ngomong kiamat maju 1 jam,tiap bahlil ngomong kiamat maju 1 jam,0.0,0.709955096244812,0
127,"bahlil auranya gelap banget, banyak banget kayanya dosanya",68,2025-10-12 17:16:41+00:00,bahlil auranya gelap banget  banyak banget kayanya dosanya,bahlil auranya gelap banget banyak banget kayanya dosanya,0.0,0.9993405938148499,0
128,buktinya Shell dan Vivo gak mau beli.,5368,2025-10-10 04:08:48+00:00,buktinya shell dan vivo gak mau beli.,buktinya shell dan vivo tidak mau beli.,0.0,0.9986751675605774,0
129,Sejak kapan lu jadi ahli kimia iteemmmmmm🤣🤣🤣🤣,1478,2025-10-12 11:27:10+00:00,sejak kapan lu jadi ahli kimia iteemm🤣🤣,sejak kapan kamu jadi ahli kimia iteemm🤣🤣,0.0,0.840465247631073,0
130,pecat menti satu ini.. muak liatnya..,5493,2025-10-10 04:40:35+00:00,pecat menti satu ini.. muak liatnya..,pecat menti satu ini.. muak liatnya..,0.0,0.9994646906852722,0
131,Bahlil waktu kecil biru,356,2025-10-10 13:44:35+00:00,bahlil waktu kecil biru,bahlil waktu kecil biru,,0.9962325692176819,0
132,"GOLKAR SALAH PILIH KETUM PARTAI...
DAN BPK.PRESIDEN PRABOWO KELIRU PILIH MENTRI...
MASIH BANYAK TENAGA AHLI YG PAHAM BIDANG INI PENGGANTI BAHLIL...",84,2025-10-10 11:02:19+00:00,"golkar salah pilih ketum partai..
dan bpk.presiden prabowo keliru pilih mentri..
masih banyak tenaga ahli yg paham bidang ini pengganti bahlil..",golkar salah pilih ketum partai.. dan bpk.presiden prabowo keliru pilih mentri.. masih banyak tenaga ahli yang paham bidang ini pengganti bahlil..,0.0,0.9532158970832825,0
133,klu saya lebih percaya dg shell dan vivo...tdk percaya dg bahlul,2,2025-10-10 09:29:10+00:00,klu saya lebih percaya dg shell dan vivo..tdk percaya dg bahlul,klu saya lebih percaya dg shell dan vivo..tdk percaya dg bahlul,0.0,0.887193500995636,0
134,kok Bahlil mirip cutpakay ya,95,2025-10-10 08:09:29+00:00,kok bahlil mirip cutpakay ya,kok bahlil mirip cutpakay ya,0.0,0.8232622742652893,0
135,katanya mafia migas sudah ditangkap tapi koq nggak ada pengaruh terhadap harga BBM ?,14,2025-10-10 03:36:16+00:00,katanya mafia migas sudah ditangkap tapi koq nggak ada pengaruh terhadap harga bbm ?,katanya mafia migas sudah ditangkap tapi koq tidak ada pengaruh terhadap harga bbm ?,0.0,0.9539082646369934,0
136,masalahnya ide2 Bahlil itu selalu tidak bagus,5,2025-10-10 14:08:58+00:00,masalahnya ide2 bahlil itu selalu tidak bagus,masalahnya ide2 bahlil itu selalu tidak bagus,0.0,0.9948809146881104,0
137,gelisah bngt lihat mukanya,11,2025-10-09 04:41:04+00:00,gelisah bngt lihat mukanya,gelisah bngt lihat mukanya,0.0,0.9135996699333191,0
138,selama ngisi ke pertamina mobil gua jadi brebet jirr dahal pas ngisi shell ga brebet,19,2025-10-09 08:55:11+00:00,selama ngisi ke pertamina mobil gua jadi brebet jirr dahal pas ngisi shell ga brebet,selama ngisi ke pertamina mobil gua jadi brebet jirr dahal pas ngisi shell tidak brebet,,0.9270226955413818,0
139,bahlil waktu kecil,5,2025-10-14 11:41:42+00:00,bahlil waktu kecil,bahlil waktu kecil,,0.954986572265625,0
140,🤣 bisa bisa nya dia jadi mentri...,31,2025-10-09 02:19:14+00:00,🤣 bisa bisa nya dia jadi mentri..,🤣 bisa bisa nya dia jadi mentri..,,0.9539228677749634,0
